Date;Price;Open;High;Low;Vol.;Change %;;Price
Mar 21, 2021,;55,886.0;58,087.0;58,499.5;50,874.0;65.09K;-3.79%;;4,019.87
Mar 14, 2021,;58,087.0;61,207.0;61,468.0;54,049.0;62.69K;-5.10%;;3,974.54
Mar 07, 2021,;61,207.0;48,895.0;61,207.0;48,895.0;57.87K;25.18%;;3,913.10
Feb 28, 2021,;48,895.0;46,217.0;52,018.0;43,380.0;66.35K;5.79%;;3,943.34
Feb 21, 2021,;46,217.0;55,838.0;58,238.0;45,320.0;130.47K;-17.23%;;3,841.94
Feb 14, 2021,;55,838.0;47,177.0;57,352.0;46,563.0;69.08K;18.36%;;3,811.15
Feb 07, 2021,;47,177.0;39,257.0;48,540.0;38,061.0;89.16K;20.17%;;3,906.71
Jan 31, 2021,;39,257.0;34,334.0;40,780.0;32,270.0;43.45K;14.34%;;3,934.83
Jan 24, 2021,;34,334.0;32,099.0;38,056.0;29,815.0;104.31K;6.96%;;3,886.83
Jan 17, 2021,;32,099.0;36,061.0;37,673.0;28,991.0;92.10K;-10.97%;;3,714.24
Jan 10, 2021,;36,055.0;40,171.0;41,209.3;31,842.0;148.28K;-10.25%;;3,841.47
Jan 03, 2021,;40,171.0;32,183.0;41,616.0;29,178.0;141.29K;24.81%;;3,768.25
Dec 27, 2020,;32,185.0;26,410.0;33,168.0;25,923.0;73.02K;21.86%;;3,824.68
Dec 20, 2020,;26,412.0;23,804.0;26,577.0;22,483.0;76.55K;10.96%;;3,756.07
Dec 13, 2020,;23,804.0;18,818.0;24,058.0;18,747.0;72.01K;26.55%;;3,703.06
Dec 06, 2020,;18,810.6;19,157.0;19,377.0;17,764.0;42.35K;-1.81%;;3,709.41
Nov 29, 2020,;19,157.0;17,746.0;19,733.0;17,579.2;72.09K;7.95%;;3,663.46
Nov 22, 2020,;17,746.0;18,660.0;19,349.0;16,592.0;102.55K;-4.90%;;3,699.12
Nov 15, 2020,;18,660.0;16,057.0;18,944.5;15,871.0;60.78K;16.20%;;3,638.35
Nov 08, 2020,;16,058.3;14,844.1;16,405.0;14,844.1;51.81K;8.18%;;3,557.54
Nov 01, 2020,;14,844.1;13,788.0;15,876.0;13,401.0;63.64K;7.66%;;3,585.15
Oct 25, 2020,;13,788.0;13,127.0;13,958.0;12,863.0;36.27K;5.00%;;3,509.44
Oct 18, 2020,;13,132.0;11,375.0;13,166.0;11,366.0;37.60K;15.45%;;3,269.96
Oct 11, 2020,;11,375.0;11,308.0;11,698.9;11,268.2;25.62K;0.59%;;3,465.39
Oct 04, 2020,;11,308.0;10,558.6;11,450.0;10,557.6;17.05K;7.10%;;3,483.81
Sep 27, 2020,;10,558.6;10,750.0;10,941.0;10,476.0;21.91K;-1.78%;;3,477.13
Sep 20, 2020,;10,750.0;11,099.0;11,099.0;10,255.0;21.22K;-3.14%;;3,348.44
Sep 13, 2020,;11,099.0;10,458.0;11,127.0;10,244.0;24.51K;6.13%;;3,298.46
Sep 06, 2020,;10,458.0;10,196.9;10,463.5;9,964.1;26.77K;2.56%;;3,319.47
Aug 30, 2020,;10,197.0;11,492.0;12,037.0;10,011.0;57.29K;-11.27%;;3,340.97
Aug 23, 2020,;11,492.0;11,685.0;11,817.9;11,200.0;21.36K;-1.65%;;3,426.96
Aug 16, 2020,;11,685.0;11,873.4;12,415.0;11,449.0;41.94K;-1.59%;;3,508.01
Aug 09, 2020,;11,873.4;11,764.0;12,024.0;11,257.0;36.61K;0.93%;;3,397.16
Aug 02, 2020,;11,764.0;11,804.7;11,917.0;11,032.0;40.40K;-0.35%;;3,372.85
Jul 26, 2020,;11,804.7;9,714.9;11,804.7;9,685.8;65.25K;21.51%;;3,351.28
Jul 19, 2020,;9,714.9;9,189.1;9,730.5;9,130.5;21.54K;5.72%;;3,271.12
Jul 12, 2020,;9,189.1;9,246.3;9,344.8;9,092.1;11.98K;-0.62%;;3,215.63
Jul 05, 2020,;9,246.3;9,147.7;9,480.7;9,004.9;18.40K;1.08%;;3,224.73
Jun 28, 2020,;9,147.7;9,015.3;9,298.0;8,949.4;15.71K;1.47%;;3,185.04
Jun 21, 2020,;9,015.3;9,371.3;9,794.2;8,857.3;29.00K;-3.80%;;3,130.01
Jun 14, 2020,;9,371.3;9,480.9;9,589.9;8,914.9;26.25K;-1.15%;;3,009.05
Jun 07, 2020,;9,480.8;9,668.4;10,004.0;9,088.6;40.26K;-1.94%;;3,097.74
May 31, 2020,;9,668.4;9,706.4;10,390.0;9,197.4;53.24K;-0.39%;;3,041.31
May 24, 2020,;9,706.4;9,174.6;9,742.0;8,628.6;36.84K;5.80%;;3,193.93
