Date;Price;Open;High;Low;Vol.;Change %;;Price
Apr 16, 2017,;1,347.5;1,193.3;1,353.1;1,190.4;79.36K;12.92%;;2,384.20
Apr 09, 2017,;1,193.3;1,188.1;1,243.4;1,163.5;90.03K;0.44%;;2,348.69
Apr 02, 2017,;1,188.1;1,093.5;1,208.9;1,081.0;158.18K;8.68%;;2,328.95
Mar 26, 2017,;1,093.2;971.3;1,106.9;950.1;182.05K;12.45%;;2,355.54
Mar 19, 2017,;972.2;971.9;1,120.9;891.0;244.68K;0.12%;;2,362.72
Mar 12, 2017,;971.0;1,172.4;1,262.0;935.1;274.43K;-17.21%;;2,343.98
Mar 05, 2017,;1,172.8;1,267.8;1,328.8;971.0;268.05K;-7.49%;;2,378.25
Feb 26, 2017,;1,267.8;1,153.0;1,294.7;1,130.9;131.19K;9.96%;;2,372.60
Feb 19, 2017,;1,153.0;1,059.8;1,222.2;1,044.1;149.17K;8.79%;;2,383.12
Feb 12, 2017,;1,059.8;1,000.1;1,071.1;975.9;65.77K;5.95%;;2,367.34
Feb 05, 2017,;1,000.3;1,031.1;1,078.0;936.4;157.12K;-2.99%;;2,351.16
Jan 29, 2017,;1,031.1;919.4;1,040.0;910.0;91.10K;12.15%;;2,316.10
Jan 22, 2017,;919.4;924.0;939.7;884.2;86.24K;-0.50%;;2,297.42
Jan 15, 2017,;924.0;815.3;931.0;805.1;98.44K;13.33%;;2,294.69
Jan 08, 2017,;815.3;908.8;942.5;738.7;196.66K;-10.29%;;2,271.31
Jan 01, 2017,;908.8;966.6;1,166.0;816.1;590.38K;-5.97%;;2,274.64
Dec 25, 2016,;966.6;895.2;983.0;858.6;102.94K;7.97%;;2,276.98
Dec 18, 2016,;895.2;791.0;920.0;784.4;76.46K;13.18%;;2,238.83
Dec 11, 2016,;791.0;772.9;793.0;761.8;34.32K;2.34%;;2,263.79
Dec 04, 2016,;772.9;765.5;777.8;744.6;42.01K;1.00%;;2,258.07
Nov 27, 2016,;765.3;731.2;779.2;722.5;51.36K;4.66%;;2,259.53
Nov 20, 2016,;731.2;752.9;757.0;712.0;50.80K;3.26%;;2,191.95
Nov 13, 2016,;708.1;703.4;708.1;687.6;8.61K;0.61%;;2,213.35
Nov 06, 2016,;703.8;709.2;743.1;700.0;50.51K;-0.65%;;2,181.90
Oct 30, 2016,;708.4;704.1;753.7;676.0;77.51K;-0.86%;;2,164.45
Oct 23, 2016,;714.5;665.0;724.0;652.7;66.96K;7.45%;;2,085.18
Oct 16, 2016,;665.0;640.2;671.0;627.8;43.13K;3.87%;;2,126.41
Oct 09, 2016,;640.2;620.5;646.0;614.4;36.25K;3.17%;;2,141.16
Oct 02, 2016,;620.5;614.1;622.9;607.0;26.71K;1.04%;;2,132.98
Sep 25, 2016,;614.1;602.5;616.9;597.6;17.15K;1.92%;;2,153.74
Sep 18, 2016,;602.5;607.7;615.9;592.7;22.15K;-0.85%;;2,168.27
Sep 11, 2016,;607.7;628.0;635.0;598.0;39.46K;-3.23%;;2,164.69
Sep 04, 2016,;628.0;609.9;636.2;604.6;35.34K;2.97%;;2,139.16
Aug 28, 2016,;609.9;568.5;612.4;568.3;28.52K;7.27%;;2,127.81
Aug 21, 2016,;568.5;582.1;590.7;567.2;24.50K;-2.31%;;2,179.98
Aug 14, 2016,;582.0;583.7;583.7;563.0;38.68K;-3.66%;;2,169.04
Aug 07, 2016,;604.1;604.1;604.1;604.1;-;0.00%;;2,183.87
Jul 31, 2016,;604.1;604.1;604.1;604.1;-;-7.77%;;2,184.05
Jul 24, 2016,;655.0;654.0;664.4;640.6;78.32K;0.15%;;2,182.87
Jul 17, 2016,;654.0;665.3;689.7;640.0;110.84K;-1.70%;;2,173.60
Jul 10, 2016,;665.3;648.1;678.0;636.9;107.54K;2.66%;;2,175.03
Jul 03, 2016,;648.1;706.0;707.0;610.1;257.01K;-8.07%;;2,161.74
Jun 26, 2016,;705.0;664.9;705.3;614.3;271.15K;6.04%;;2,129.90
Jun 19, 2016,;664.9;757.6;771.9;664.9;549.38K;-12.24%;;2,102.95
Jun 12, 2016,;757.6;614.6;789.7;607.0;622.05K;23.28%;;2,037.41
Jun 05, 2016,;614.5;572.9;615.0;561.3;176.28K;7.31%;;2,071.22
May 29, 2016,;572.7;527.0;593.7;512.5;298.46K;8.66%;;2,096.07
;;;;;;;;2,099.13
